x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
41,82,16,51,11,85,46,50,1,55
16,24,44,88,48,33,69,51,50,90
49,62,57,9,76,15,46,39,53,29
66,18,85,48,27,76,74,8,95,64
28,6,41,46,94,75,41,4,100,32
72,57,47,69,90,10,42,46,35,65
64,9,66,75,63,35,22,86,75,34
39,87,12,58,73,26,15,32,99,23
82,33,6,22,13,100,99,18,52,32
80,30,21,1,47,56,70,65,98,27
9,22,91,53,49,90,97,71,67,56
30,84,35,30,65,92,94,21,98,45
62,16,53,65,26,87,19,73,71,8
3,10,12,30,47,34,56,54,15,32
82,99,18,91,15,97,40,48,32,44
24,32,80,3,48,24,61,64,24,90
85,57,82,85,7,97,59,19,89,33
53,82,37,93,50,25,56,61,90,16
95,31,2,2,27,37,59,25,26,40
55,16,89,86,85,44,82,34,30,41
85,11,85,45,28,8,58,69,88,75
95,36,99,58,77,58,14,73,78,19
92,49,64,31,17,28,64,33,75,55
68,75,2,62,62,97,57,56,10,32
61,29,90,83,59,8,39,41,61,36
71,47,19,10,12,98,30,75,11,66
43,50,97,9,75,42,26,39,43,83
31,76,79,62,29,65,22,100,64,28
28,6,17,44,84,22,56,25,5,45
45,25,18,91,47,70,13,100,20,21
85,89,4,8,40,36,81,94,66,63
5,51,13,91,25,74,54,55,68,95
66,57,26,12,89,98,82,1,3,3
7,89,38,84,1,74,54,50,73,41
16,77,14,27,60,18,32,13,6,67
53,26,18,38,61,78,88,7,44,52
81,8,96,13,80,20,88,23,4,59
49,48,21,36,31,70,49,57,37,27
47,76,96,48,48,23,3,8,65,91
24,22,100,59,48,77,97,59,75,64
80,57,26,50,70,50,36,30,75,51
82,42,56,38,30,3,79,100,69,24
87,64,50,44,33,41,28,100,96,16
22,53,63,65,59,16,65,81,9,34
72,64,92,93,47,38,43,64,60,6
42,52,54,100,77,28,7,51,74,91
63,75,39,11,89,76,2,9,40,81
78,64,70,67,5,95,10,7,6,70
69,14,100,69,5,3,90,13,73,73
66,66,34,54,91,57,15,91,67,52
23,14,32,1,79,55,23,91,36,83
27,44,32,42,65,38,37,22,39,16
20,14,14,100,3,36,62,69,67,4
100,19,80,76,3,21,16,63,8,38
96,86,44,37,15,81,69,7,100,58
63,32,35,26,45,73,78,9,43,15
15,62,98,71,11,6,58,40,42,75
84,58,59,92,87,87,41,28,67,78
69,14,25,82,40,91,94,21,45,37
41,20,66,80,55,79,22,29,3,65
68,17,51,58,64,23,55,42,6,46
16,35,90,13,61,79,13,11,43,3
12,56,77,65,10,30,43,32,0,71
27,83,66,50,83,45,44,36,93,49
12,29,56,53,77,65,63,96,63,56
64,19,25,90,58,37,44,59,32,34
56,84,67,74,83,15,52,64,13,42
6,20,39,74,9,13,36,42,17,9
41,67,89,40,30,89,95,70,67,83
54,92,100,58,64,2,28,62,54,91
31,56,1,46,87,53,19,19,20,63
63,64,30,53,79,9,6,62,21,99
89,99,55,80,0,53,3,100,92,60
95,80,63,48,53,33,94,4,77,86
94,67,85,96,18,93,40,38,14,85
72,66,30,92,95,13,8,45,7,41
43,71,39,88,97,9,12,4,4,26
88,79,30,38,42,56,67,74,26,25
79,82,57,12,58,10,51,8,8,95
72,4,64,88,55,53,66,65,62,10
2,7,11,87,47,95,26,65,62,41
6,80,32,58,78,40,40,41,50,7
87,71,75,27,81,23,29,61,72,28
98,0,47,86,35,12,16,24,30,17
40,31,84,3,96,8,47,54,17,47
85,28,6,70,58,2,95,42,3,98
41,75,1,20,56,87,33,20,67,44
50,15,68,9,61,21,64,26,0,86
6,42,88,71,27,85,81,32,40,73
50,62,36,46,30,11,84,82,75,97
59,11,75,40,47,98,89,44,70,7
70,34,91,35,69,100,97,2,53,1
63,85,57,93,42,40,46,25,87,45
98,12,67,97,91,80,40,50,30,88
99,40,73,68,19,97,18,45,34,48
23,53,21,23,33,84,3,38,26,70
38,26,15,36,94,14,94,94,71,63
63,65,60,0,62,70,60,100,22,68
92,29,17,88,92,31,71,97,89,43
40,67,71,38,47,82,23,79,2,33
