state,submission_year,submission_month,new_case,new_death,population,pnew_case,pnew_death
AK,2020,1,0.0,0.0,733391,0.0,0.0
AK,2020,2,0.0,0.0,733391,0.0,0.0
AK,2020,3,128.0,6.0,733391,0.0001745317300048678,8.181174843978178e-06
AK,2020,4,227.0,3.0,733391,0.00030952111493050776,4.090587421989089e-06
AK,2020,5,108.0,4.0,733391,0.0001472611471916072,5.4541165626521185e-06
AK,2020,6,481.0,4.0,733391,0.0006558575166589173,5.4541165626521185e-06
AK,2020,7,2049.0,16.0,733391,0.0027938712092185477,2.1816466250608474e-05
AK,2020,8,2297.0,19.0,733391,0.0031320264361029792,2.5907053672597563e-05
AK,2020,9,2601.0,17.0,733391,0.0035465392948645404,2.3179995391271506e-05
AK,2020,10,7507.0,47.0,733391,0.010236013258957365,6.40858696111624e-05
AK,2020,11,16395.0,89.0,733391,0.022355060261170373,0.00012135409351900964
AK,2020,12,13978.0,76.0,733391,0.01905941032818783,0.00010362821469039025
AK,2021,1,6991.0,27.0,733391,0.00953243222237524,3.68152867979018e-05
AK,2021,2,3569.0,15.0,733391,0.004866435503026353,2.0452937109945446e-05
AK,2021,3,4207.0,17.0,733391,0.005736367094769366,2.3179995391271506e-05
AK,2021,4,4871.0,1.0,733391,0.006641750444169618,1.3635291406630296e-06
AK,2021,5,2072.0,21.0,733391,0.0028252323794537974,2.8634111953923624e-05
AK,2021,6,898.0,8.0,733391,0.0012244491683154007,1.0908233125304237e-05
AK,2021,7,4140.0,12.0,733391,0.005645010642344943,1.6362349687956356e-05
AK,2021,8,12078.0,49.0,733391,0.016468704960928074,6.681292789248845e-05
AK,2021,9,25248.0,125.0,733391,0.03442638374346017,0.0001704411425828787
AK,2021,10,22800.0,143.0,733391,0.031088464407117076,0.00019498466711481325
AK,2021,11,12936.0,151.0,733391,0.01763861296361695,0.00020589290024011748
AK,2021,12,2799.0,7.0,733391,0.00381651806471582,9.544703984641209e-06
AL,2020,1,0.0,0.0,5024279,0.0,0.0
AL,2020,2,0.0,1.0,5024279,0.0,1.9903353297060135e-07
AL,2020,3,1056.0,48.0,5024279,0.00021017941081695503,9.553609582588865e-06
AL,2020,4,6115.0,337.0,5024279,0.0012170900541152274,6.707430061109266e-05
AL,2020,5,11005.0,480.0,5024279,0.002190364030341468,9.553609582588865e-05
AL,2020,6,20244.0,478.0,5024279,0.0040292348414568534,9.513802875994745e-05
AL,2020,7,49582.0,963.0,5024279,0.009868480631748356,0.00019166929225068911
AL,2020,8,38009.0,1059.0,5024279,0.007565065554679587,0.00021077651141586682
AL,2020,9,27934.0,617.0,5024279,0.005559802710000779,0.00012280368984286103
AL,2020,10,38098.0,595.0,5024279,0.00758277953911397,0.0001184249521175078
AL,2020,11,58284.0,804.0,5024279,0.01160047043565853,0.0001600229605083635
AL,2020,12,111768.0,1803.0,5024279,0.022245579913058172,0.00035885745994599424
AL,2021,1,96750.0,2405.0,5024279,0.01925649431490568,0.00047867564679429626
AL,2021,2,33784.0,974.0,5024279,0.006724148877878796,0.00019385866111336573
AL,2021,3,22396.0,392.0,5024279,0.004457555004409588,7.802114492447573e-05
AL,2021,4,12811.0,213.0,5024279,0.002549818590886374,4.2394142522738085e-05
AL,2021,5,15701.0,208.0,5024279,0.0031250255011714117,4.139897485788508e-05
AL,2021,6,5590.0,127.0,5024279,0.0011125974493056616,2.5277258687266373e-05
AL,2021,7,35430.0,250.0,5024279,0.007051758073148406,4.9758383242650336e-05
AL,2021,8,116374.0,1571.0,5024279,0.023162328365920762,0.00031268168029681474
AL,2021,9,93525.0,1893.0,5024279,0.01861461117107549,0.00037677047791334834
AL,2021,10,34872.0,802.0,5024279,0.006940697361750811,0.0001596248934424223
AL,2021,11,16422.0,244.0,5024279,0.0032685286784432154,4.856418204482673e-05
AL,2021,12,8287.0,40.0,5024279,0.0016493908877273735,7.961341318824053e-06
AR,2020,1,0.0,0.0,3011524,0.0,0.0
AR,2020,2,0.0,0.0,3011524,0.0,0.0
