state,abbreviation,2020,2010
California,CA,39538223,37253956
Texas,TX,29145505,25145561
Florida,FL,21538187,18801310
New York,NY,20201249,19378102
Pennsylvania,PA,13002700,12702379
Illinois,IL,12812508,12830632
Ohio,OH,11799448,11536504
Georgia,GA,10711908,9687653
North Carolina,NC,10439388,9535483
Michigan,MI,10077331,9883640
New Jersey,NJ,9288994,8791894
Virginia,VA,8631393,8001024
Washington,WA,7705281,6724540
Arizona,AZ,7151502,6392017
Massachusetts,MA,7029917,6547629
Tennessee,TN,6910840,6346105
Indiana,IN,6785528,6483802
Maryland,MD,6177224,5773552
Missouri,MO,6154913,5988927
Wisconsin,WI,5893718,5686986
Colorado,CO,5773714,5029196
Minnesota,MN,5706494,5303925
South Carolina,SC,5118425,4625364
Alabama,AL,5024279,4779736
Louisiana,LA,4657757,4533372
Kentucky,KY,4505836,4339367
Oregon,OR,4237256,3831074
Oklahoma,OK,3959353,3751351
Connecticut,CT,3605944,3574097
Utah,UT,3271616,2763885
Iowa,IA,3190369,3046355
Nevada,NV,3104614,2700551
Arkansas,AR,3011524,2915918
Mississippi,MS,2961279,2967297
Kansas,KS,2937880,2853118
New Mexico,NM,2117522,2059179
Nebraska,NE,1961504,1826341
Idaho,ID,1839106,1567582
West Virginia,WV,1793716,1852994
Hawaii,HI,1455271,1360301
New Hampshire,NH,1377529,1316470
Maine,ME,1362359,1328361
Rhode Island,RI,1097379,1052567
Montana,MT,1084225,989415
Delaware,DE,989948,897934
South Dakota,SD,886667,814180
North Dakota,ND,779094,672591
Alaska,AK,733391,710231
District of Columbia,DC,689545,601723
Vermont,VT,643077,625741
Wyoming,WY,576851,563626
