product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215,4.4,8.76,45.95,4,15.1,45.9
bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209,4.4,21.322,45.95,4,12.93333333,45.95
bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205,4.4,22.1959322,45.95,4,14.84,45.95
bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4,14.2875,45.95
bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4,15.1,45.95
bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4,15.1,45.95,4,15.1,45.95
bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4,15.83272727,40.53181818,4,15.83272727,45.95
bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4,15.23,39.99,4,15.23,40.53181818
bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4,16.53368421,39.99,4,16.53368421,39.99
bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4,13.74944444,39.99,4,13.74944444,39.99
bed1,bed_bath_table,01-03-2018,17,679.83,16.46235294,39.99,39,161,2,350,4,43,22,9,1,3,2018,15.88785047,3800,86.9,3.9,19.98235294,39.99,4,16.46235294,39.99,4,16.46235294,39.99
bed1,bed_bath_table,01-04-2018,13,519.87,14.23615385,39.99,39,161,2,350,4,34,21,9,1,4,2018,12.14953271,3800,85.045,3.9,12.94,39.99,4,14.23615385,39.99,4,14.23615385,39.99
bed1,bed_bath_table,01-05-2018,19,759.81,10.25631579,39.99,39,161,2,350,4,57,23,8,3,5,2018,10.26739356,3800,83.64961538,3.9,16.78038462,39.99,4,10.25631579,39.99,4,10.25631579,39.99
bed1,bed_bath_table,01-06-2018,5,199.95,13.998,39.99,39,161,2,350,4,43,21,9,0,6,2018,6.503115265,3800,79.9,3.9,23.00565217,39.99,4,13.998,39.99,4,13.998,39.99
bed1,bed_bath_table,01-07-2018,8,319.92,20.4175,39.99,39,161,2,350,4,26,22,9,1,7,2018,12.07165109,3800,77.93333333,3.9,19.952,39.99,4,20.4175,39.99,4,20.4175,39.99
bed1,bed_bath_table,01-08-2018,8,313.92,16.33375,39.24,39,161,2,350,4,15,23,8,1,8,2018,9.293873313,3800,74,3.9,17.25571429,39.24,4,16.33375,39.24,4,16.33375,39.99
garden5,garden_tools,01-03-2017,6,419.4,32.68,69.9,36,450,1,9000,4.1,21,23,8,1,3,2017,9.107142857,19656,69.9,4.1,32.68,69.9,4.1,32.68,69.9,4.1,32.68,69.85
garden5,garden_tools,01-04-2017,3,247.9,34.21666667,82.63333333,36,450,1,9000,4.1,17,20,10,2,4,2017,7.678571429,19656,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,82.63333333,4.1,34.21666667,69.9
garden5,garden_tools,01-05-2017,20,1956,39.8975,97.58823529,36,450,1,9000,4.1,34,23,8,1,5,2017,19.04761905,19656,59.9,4.1,19.7325,59.9,4.2,26.24666667,97.58823529,4.1,39.8975,82.63333333
garden5,garden_tools,01-06-2017,8,712,40.80125,89,36,450,1,9000,4.1,26,22,8,1,6,2017,7.619047619,19656,59.9,4.1,17.67,59.9,4.2,16.26,89,4.1,40.80125,97.58823529
garden5,garden_tools,01-07-2017,10,890,39.156,89,36,450,1,9000,4.1,74,21,10,1,7,2017,9.523809524,19656,59.9,4.1,16.62642857,59.9,4.2,16.11157895,59.9,4.1,15.39230769,89
garden5,garden_tools,01-08-2017,7,683,39.5,97.33333333,36,450,1,9000,4.1,113,23,8,1,8,2017,6.666666667,19656,59.9,4.1,18.16230769,59.9,4.2,17.68111111,59.9,4.1,18.05043478,89
garden5,garden_tools,01-09-2017,9,891,39.01888889,99,36,450,1,9000,4.1,115,21,9,1,9,2017,8.571428571,19656,59.9,4.1,17.18702703,59.9,4.2,16.81176471,59.9,4.1,16.29461538,97.33333333
garden5,garden_tools,01-10-2017,14,1386,45.77642857,99,36,450,1,9000,4.1,146,22,9,2,10,2017,13.33333333,19656,59.9,4.1,18.06589744,59.9,4.2,17.59548387,59.9,4.1,16.81416667,99
garden5,garden_tools,01-11-2017,17,1683,32.86352941,99,36,450,1,9000,4.1,339,22,8,4,11,2017,16.19047619,19656,52.40694444,4.1,17.06747253,53.64828125,4.2,16.07586207,53.78571429,4.1,18.27550725,99
garden5,garden_tools,01-12-2017,11,1089,38.05545455,99,36,450,1,9000,4.1,184,21,10,1,12,2017,10.47619048,19656,55.1,4.1,15.75960784,55.425,4.2,19.184375,55.75,4.1,17.26727273,99
garden5,garden_tools,01-01-2018,4,398,41.54,99.5,36,450,1,9000,4.1,137,23,8,2,1,2018,50,19656,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,99
garden5,garden_tools,01-02-2018,2,202,43.555,101,36,450,1,9000,4.1,160,20,8,2,2,2018,25,19656,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,99.5
garden5,garden_tools,01-03-2018,1,101,67.02,101,36,450,1,9000,4.1,116,22,9,1,3,2018,9.107142857,19656,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,101
garden5,garden_tools,01-04-2018,1,101,79.76,101,36,450,1,9000,4.1,111,21,9,1,4,2018,7.678571429,19656,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,101
consoles1,consoles_games,01-07-2017,13,258.7,13.47307692,19.9,49,100,4,150,4.2,13,21,10,1,7,2017,7.59180791,2304,19.9,4.2,13.47307692,19.9,3.9,11.85,19.9,4.2,13.47307692,19.85
consoles1,consoles_games,01-08-2017,24,477.6,16.16375,19.9,49,100,4,150,4.2,33,23,8,1,8,2017,20.33898305,2304,19.9,4.2,16.16375,19.9,3.9,15.83272727,19.9,4.2,16.16375,19.9
consoles1,consoles_games,01-09-2017,9,179.1,16.13333333,19.9,49,100,4,150,4.2,17,21,9,1,9,2017,7.627118644,2304,19.9,4.2,16.13333333,19.9,3.9,15.41111111,19.9,4.2,16.13333333,19.9
consoles1,consoles_games,01-10-2017,28,603.2,13.53428571,21.54285714,49,100,4,150,4.2,38,22,9,2,10,2017,23.72881356,2304,21.54285714,4.2,13.53428571,20.66666667,3.9,12.80333333,21.54285714,4.2,13.53428571,19.9
consoles1,consoles_games,01-11-2017,28,686,13.64535714,24.5,49,100,4,150,4.2,49,22,8,4,11,2017,23.72881356,2304,24.5,4.2,13.64535714,24.5,3.9,13.65217391,24.5,4.2,13.64535714,21.54285714
