a_team,h_team,a_score,h_score,preseason
Nets,Lakers,123,97,True
76ers,Raptors,107,123,True
Hawks,Heat,99,125,True
Magic,Celtics,97,98,True
Pelicans,Timberwolves,114,117,True
Hornets,Thunder,113,97,True
Jazz,Spurs,85,111,True
Warriors,Trail Blazers,121,107,True
Suns,Kings,106,117,True
Nuggets,Clippers,102,103,True
Pacers,Knicks,104,125,True
Wizards,Rockets,119,125,True
Cavaliers,Bulls,95,131,True
Bucks,Grizzlies,77,87,True
Lakers,Suns,105,117,True
Spurs,Pistons,105,115,True
Cavaliers,Hawks,99,96,True
Magic,Pelicans,86,104,True
Jazz,Mavericks,101,111,True
Nuggets,Warriors,116,118,True
Kings,Clippers,113,98,True
Raptors,76ers,113,125,True
Grizzlies,Hornets,128,98,True
Heat,Rockets,113,106,True
Pacers,Cavaliers,109,100,True
Bucks,Nets,115,119,True
Pelicans,Bulls,85,121,True
Clippers,Mavericks,114,122,True
Heat,Spurs,109,105,True
Timberwolves,Nuggets,114,112,True
Lakers,Warriors,114,121,True
Raptors,Celtics,111,113,True
Knicks,Wizards,117,99,True
Hawks,Grizzlies,91,87,True
Spurs,Magic,101,100,True
Bulls,Cavaliers,102,101,True
Thunder,Bucks,110,130,True
Suns,Lakers,123,94,True
Rockets,Raptors,92,107,True
Hornets,Heat,103,104,True
Nets,76ers,104,115,True
Pistons,Grizzlies,92,127,True
Pelicans,Jazz,96,127,True
Kings,Trail Blazers,107,93,True
Timberwolves,Clippers,128,100,True
Raptors,Wizards,113,108,True
Warriors,Lakers,111,99,True
Trail Blazers,Suns,74,119,True
Mavericks,Hornets,127,59,True
Grizzlies,Pacers,107,109,True
Celtics,Magic,102,103,True
Pistons,Knicks,100,108,True
Nuggets,Thunder,99,108,True
Bucks,Jazz,120,124,True
Heat,Hawks,92,127,True
Timberwolves,Nets,101,107,True
Nuggets,Thunder,113,107,True
Lakers,Kings,112,116,True
Celtics,Heat,100,121,True
76ers,Pistons,108,112,True
Cavaliers,Pacers,110,94,True
Wizards,Knicks,113,115,True
Mavericks,Bucks,114,103,True
Grizzlies,Bulls,105,118,True
Rockets,Spurs,98,126,True
Trail Blazers,Warriors,97,119,True
Nets,Bucks,104,127,False
Warriors,Lakers,121,114,False
Pacers,Hornets,122,123,False
Bulls,Pistons,94,88,False
Celtics,Knicks,134,138,False
Wizards,Raptors,98,83,False
76ers,Pelicans,117,97,False
Cavaliers,Grizzlies,121,132,False
Rockets,Timberwolves,106,124,False
Magic,Spurs,97,123,False
Thunder,Jazz,86,107,False
Kings,Trail Blazers,124,121,False
Nuggets,Suns,110,98,False
Mavericks,Hawks,87,113,False
