# 20211101
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	D. DeRozan	Chi	@Bos	128-114 W	34	15-20	3-4	4-5	6	2	1	1	1	37	60.2
2	C. Anthony	Orl	@Min	115-97 W	38	8-17	6-11	9-11	9	8	2	1	4	31	56.3
3	P. George	LAC	Okc	94-99 W	40	11-24	5-8	5-6	9	7	3	1	4	32	56.0
4	L. Ball	Cha	Cle	113-110 L	34	12-22	5-8	1-1	7	6	2	2	3	30	54.9
5	D. Sabonis	Ind	SA	118-131 W	36	11-15	0-2	2-2	13	6	1	0	1	24	54.0
6	J. Allen	Cle	@Cha	113-110 W	35	9-13	0-0	6-9	16	2	1	3	1	24	52.2
7	O. Anunoby	Tor	@NY	113-104 W	41	13-27	4-12	6-7	6	2	1	0	1	36	49.6
8	N. Jokic	Den	@Mem	97-106 L	33	9-15	2-6	3-4	7	7	0	4	3	23	48.5
9	K. Towns	Min	Orl	115-97 L	37	8-17	4-8	3-7	16	6	2	0	2	23	48.4
10	A. Drummond	Phi	Por	103-113 W	34	5-11	0-0	4-4	15	7	5	1	0	14	46.4
11	J. Morant	Mem	Den	97-106 W	35	12-22	1-3	1-2	7	8	1	0	4	26	46.4
12	J. Brown	Bos	Chi	128-114 L	34	10-18	5-8	3-4	7	3	1	0	1	28	45.6
13	F. Wagner	Orl	@Min	115-97 W	31	10-18	5-9	3-5	4	2	2	1	0	28	43.5
	S. Gilgeous-Alexander	Okc	@LAC	94-99 L	40	11-23	3-5	3-3	7	2	2	1	2	28	43.5
15	J. Randle	NY	Tor	113-104 L	37	7-14	4-7	4-4	9	5	0	1	3	22	41.7
16	Z. LaVine	Chi	@Bos	128-114 W	38	9-20	1-8	7-7	3	7	1	0	1	26	41.6
17	S. Curry	Phi	Por	103-113 W	34	10-17	3-10	0-0	6	5	0	0	1	23	41.2
18	F. VanVleet	Tor	@NY	113-104 W	37	7-16	3-8	0-0	9	8	2	0	1	17	39.8
19	C. Capela	Atl	WSH	111-118 W	33	7-9	0-0	2-2	12	1	1	2	0	16	39.1
20	R. Barrett	NY	Tor	113-104 L	39	9-13	5-8	4-6	6	0	1	0	4	27	38.9
21	A. Horford	Bos	Chi	128-114 L	33	8-15	3-7	1-1	10	3	1	1	3	20	38.7
22	T. Young	Atl	WSH	111-118 W	36	7-16	1-6	11-11	4	6	1	0	6	26	38.3
23	T. Jones	Mem	Den	97-106 W	27	6-9	5-7	0-0	8	4	2	0	1	17	38.0
24	G. Trent Jr.	Tor	@NY	113-104 W	43	10-22	4-11	2-2	2	2	4	0	1	26	37.0
25	D. Lillard	Por	@Phi	103-113 L	36	7-20	2-9	4-5	7	10	0	0	3	20	36.7
26	M. Turner	Ind	SA	118-131 W	24	7-10	1-4	4-5	8	0	2	3	3	19	36.4
27	N. Vucevic	Chi	@Bos	128-114 W	35	5-11	1-5	0-0	10	9	0	2	2	11	35.7
28	G. Niang	Phi	Por	103-113 W	31	7-16	3-9	4-5	5	5	0	1	1	21	35.2
29	A. Edwards	Min	Orl	115-97 L	37	10-22	2-8	2-4	6	3	2	0	2	24	35.1
30	T. McConnell	Ind	SA	118-131 W	26	5-7	0-0	0-0	3	10	3	1	0	10	34.8
# 20211102
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	G. Antetokounmpo	Mil	@Det	117-89 W	27	9-16	3-7	7-7	8	9	0	4	3	28	58.8
2	L. James	LAL	Hou	117-119 W	36	13-21	2-4	2-2	4	10	2	0	4	30	55.3
3	D. Mitchell	UTAH	Sac	113-119 W	32	14-30	5-12	3-4	8	6	1	0	3	36	55.0
4	C. Paul	PHX	NO	100-112 W	36	6-8	0-0	2-2	7	18	1	1	4	14	50.7
5	C. Wood	Hou	@LAL	117-119 L	37	11-19	3-9	1-5	16	3	1	0	1	26	49.7
6	A. Davis	LAL	Hou	117-119 W	32	11-18	0-3	5-8	9	3	3	3	4	27	48.9
7	K. Lowry	Mia	@Dal	125-110 W	36	7-10	6-9	2-2	5	9	0	0	1	22	47.0
8	R. Westbrook	LAL	Hou	117-119 W	37	10-21	0-4	7-8	9	7	0	0	3	27	45.9
9	J. Valanciunas	NO	@PHX	100-112 L	36	9-16	3-4	2-2	14	2	1	2	5	23	45.5
10	L. Doncic	Dal	Mia	125-110 L	36	10-24	3-9	10-12	3	5	0	0	3	33	42.1
	M. Conley	UTAH	Sac	113-119 W	31	11-19	6-9	2-2	3	2	1	0	4	30	42.1
12	J. Brunson	Dal	Mia	125-110 L	31	10-13	2-2	3-5	7	3	0	0	3	25	41.9
13	J. Butler	Mia	@Dal	125-110 W	33	4-11	0-1	15-17	6	6	3	1	1	23	41.7
14	R. Gobert	UTAH	Sac	113-119 W	33	3-4	0-0	6-9	20	1	1	4	3	12	39.2
