# 2021-10-19
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	G. Antetokounmpo	Mil	BKN	104-127 W	31	12-25	1-4	7-9	14	7	1	2	4	32	59.1
2	L. James	LAL	GS	121-114 L	37	13-23	5-11	3-6	11	5	1	1	4	34	57.5
3	K. Durant	BKN	@Mil	104-127 L	30	13-25	3-7	3-6	11	4	0	2	1	32	54.0
4	A. Davis	LAL	GS	121-114 L	39	15-26	1-5	2-7	11	2	1	2	0	33	53.8
5	J. Harden	BKN	@Mil	104-127 L	31	6-16	4-8	4-4	8	8	1	2	4	20	41.2
6	S. Curry	GS	@LAL	121-114 W	36	5-21	2-8	9-9	10	10	3	0	4	21	40.7
7	N. Bjelica	GS	@LAL	121-114 W	26	6-7	1-1	2-2	11	4	1	0	1	15	38.1
8	P. Mills	BKN	@Mil	104-127 L	29	7-11	7-7	0-0	2	2	1	1	0	21	35.5
9	K. Middleton	Mil	BKN	104-127 W	31	8-17	1-4	3-4	9	3	1	0	1	20	34.8
10	P. Connaughton	Mil	BKN	104-127 W	30	8-13	4-9	0-0	3	2	1	1	0	20	34.2
11	J. Poole	GS	@LAL	121-114 W	25	8-18	4-11	0-1	2	3	1	0	2	20	27.0
12	J. Nwora	Mil	BKN	104-127 W	26	6-13	3-6	0-0	6	1	1	1	1	15	26.0
13	G. Allen	Mil	BKN	104-127 W	28	3-10	3-10	1-1	4	6	2	0	0	10	23.6
14	A. Wiggins	GS	@LAL	121-114 W	26	5-10	2-5	0-0	7	1	1	0	2	12	22.0
15	A. Iguodala	GS	@LAL	121-114 W	23	4-7	2-5	2-2	1	2	0	1	0	12	20.3
16	N. Claxton	BKN	@Mil	104-127 L	24	6-9	0-0	0-3	7	0	0	0	0	12	20.2
17	D. Lee	GS	@LAL	121-114 W	29	4-10	1-5	6-6	1	2	0	0	0	15	20.0
18	J. Holiday	Mil	BKN	104-127 W	18	5-7	2-4	0-0	1	1	1	0	0	12	19.8
19	D. Green	GS	@LAL	121-114 W	30	2-5	0-0	2-4	8	6	1	0	5	6	18.4
20	B. Lopez	Mil	BKN	104-127 W	28	3-9	2-4	0-0	5	0	1	3	0	8	17.4
21	K. Looney	GS	@LAL	121-114 W	15	3-5	0-0	1-2	4	1	1	1	1	7	15.0
22	T. Antetokounmpo	Mil	BKN	104-127 W	12	2-3	0-0	2-2	4	1	0	1	0	6	14.5
23	C. Anthony	LAL	GS	121-114 L	26	3-9	2-4	1-2	4	2	0	0	1	9	13.8
24	R. Westbrook	LAL	GS	121-114 L	35	4-13	0-4	0-0	5	4	0	0	4	8	12.6
25	M. Monk	LAL	GS	121-114 L	19	2-5	2-4	0-0	3	1	2	0	1	6	12.3
26	J. Harris	BKN	@Mil	104-127 L	31	3-9	3-5	0-0	2	2	0	0	2	9	12.1
27	B. Griffin	BKN	@Mil	104-127 L	23	2-5	0-1	2-2	5	0	1	0	1	6	11.4
28	J. Toscano-Anderson	GS	@LAL	121-114 W	12	2-3	1-2	1-2	3	1	0	0	1	6	10.9
29	A. Bradley	LAL	GS	121-114 L	8	2-3	2-3	0-0	1	1	0	0	1	6	9.9
30	K. Bazemore	LAL	GS	121-114 L	31	3-9	2-8	0-0	2	0	0	1	1	8	9.9
