t1,t2,s1,s2,yd1,yd2,to1,to2,home_team,week
Steelers,Titans,13,10,357,320,3,2.0,Steelers,1
Broncos,Bengals,12,7,302,307,0,2.0,Bengals,1
Ravens,Chiefs,38,24,501,188,1,0.0,Ravens,1
Colts,Jaguars,14,12,365,228,2,0.0,Colts,1
Cowboys,Buccaneers,34,21,462,450,0,0.0,Buccaneers,1
Saints,Lions,45,27,515,231,3,3.0,Saints,1
Jets,Texans,24,7,462,183,1,2.0,Texans,1
Vikings,Browns,34,20,310,268,0,2.0,Browns,1
Eagles,Panthers,38,10,267,169,2,7.0,Panthers,1
Falcons,Dolphins,19,7,281,259,0,4.0,Falcons,1
49ers,Cardinals,20,16,203,299,1,2.0,Cardinals,1
Giants,Redskins,23,17,351,272,2,2.0,Giants,1
Seahawks,Rams,28,0,446,247,3,1.0,Seahawks,1
Packers,Bears,21,15,226,352,0,4.0,Packers,1
Patriots,Bills,25,24,441,276,1,1.0,Patriots,1
Chargers,Raiders,24,20,317,366,2,,Raiders,1
Raiders,Chiefs,13,10,166,409,0,2.0,Chiefs,2
Jets,Patriots,16,9,254,299,1,1.0,Jets,2
Bengals,Packers,31,24,319,311,2,1.0,Packers,2
Falcons,Panthers,28,20,371,440,2,2.0,Falcons,2
Redskins,Rams,9,7,362,245,1,1.0,Redskins,2
Cardinals,Jaguars,31,17,383,367,2,3.0,Jaguars,2
Texans,Titans,34,31,420,449,0,2.0,Titans,2
Vikings,Lions,27,13,265,265,1,3.0,Lions,2
Saints,Eagles,48,22,421,463,1,4.0,Eagles,2
Bills,Buccaneers,33,20,438,353,2,2.0,Bills,2
49ers,Seahawks,23,10,379,283,0,1.0,49ers,2
Broncos,Browns,27,6,449,200,1,3.0,Broncos,2
Bears,Steelers,17,14,275,308,0,2.0,Bears,2
Ravens,Chargers,31,26,311,474,1,2.0,Chargers,2
Giants,Cowboys,33,31,427,378,0,4.0,Cowboys,2
Colts,Dolphins,27,23,356,403,0,,Dolphins,2
Giants,Buccaneers,24,0,397,86,0,1.0,Buccaneers,3
Packers,Rams,36,17,402,336,0,3.0,Rams,3
Patriots,Falcons,26,10,445,257,0,1.0,Patriots,3
Lions,Redskins,19,14,381,390,0,1.0,Lions,3
Ravens,Browns,34,3,479,186,1,4.0,Ravens,3
Eagles,Chiefs,34,14,420,196,1,1.0,Eagles,3
Vikings,49ers,27,24,377,246,1,1.0,Vikings,3
Jets,Titans,24,17,229,286,2,4.0,Jets,3
Jaguars,Texans,31,24,399,397,1,2.0,Texans,3
Saints,Bills,27,7,378,243,1,2.0,Bills,3
Bears,Seahawks,25,19,318,346,2,2.0,Seahawks,3
Broncos,Raiders,23,3,372,137,1,3.0,Raiders,3
Chargers,Dolphins,23,13,355,289,1,2.0,Chargers,3
Bengals,Steelers,23,20,273,373,0,1.0,Bengals,3
Colts,Cardinals,31,10,505,323,1,3.0,Cardinals,3
Cowboys,Panthers,21,7,449,271,0,,Cowboys,3
Redskins,Buccaneers,16,13,277,229,4,2.0,Redskins,4
Giants,Chiefs,27,16,429,212,2,1.0,Chiefs,4
Texans,Raiders,29,6,329,165,2,3.0,Texans,4
Patriots,Ravens,27,21,319,363,1,2.0,Patriots,4
Bears,Lions,48,24,276,398,0,2.0,Bears,4
Bengals,Browns,23,20,375,395,2,2.0,Browns,4
Colts,Seahawks,34,17,431,279,1,2.0,Colts,4
Jaguars,Titans,37,17,442,379,1,3.0,Jaguars,4
Saints,Jets,24,10,343,244,1,4.0,Saints,4
Dolphins,Bills,38,10,336,206,0,3.0,Dolphins,4
Broncos,Cowboys,17,10,337,315,1,2.0,Broncos,4
49ers,Rams,35,0,228,177,0,3.0,49ers,4
Steelers,Chargers,38,28,497,251,1,1.0,Steelers,4
Vikings,Packers,30,23,334,424,1,2.0,Vikings,4
Vikings,Rams,38,10,377,400,1,4.0,Rams,5
Cowboys,Chiefs,26,20,498,304,2,0.0,Chiefs,5
Browns,Bills,6,3,193,288,1,3.0,Bills,5
Eagles,Buccaneers,33,14,325,303,0,3.0,Eagles,5
Giants,Raiders,44,7,483,124,1,3.0,Giants,5
Steelers,Lions,28,20,344,335,1,1.0,Lions,5
Bengals,Ravens,17,14,403,257,2,2.0,Ravens,5
Panthers,Redskins,20,17,248,198,2,1.0,Panthers,5
Falcons,49ers,45,10,477,279,2,3.0,49ers,5
Cardinals,Texans,28,21,340,416,1,1.0,Cardinals,5
Broncos,Patriots,20,17,424,305,2,1.0,Broncos,5
Seahawks,Jaguars,41,0,379,199,0,2.0,Seahawks,5
Colts,Titans,31,9,367,245,2,2.0,Titans,5
Dolphins,Jets,31,27,413,309,0,,Dolphins,5
Panthers,Buccaneers,28,21,322,245,3,2.0,Buccaneers,6
Steelers,Browns,27,14,543,197,4,4.0,Steelers,6
Packers,Lions,26,0,435,149,2,3.0,Packers,6
Texans,Bengals,28,17,472,296,2,3.0,Bengals,6
Saints,Giants,48,27,493,325,0,2.0,Saints,6
Jaguars,Rams,23,20,492,262,3,1.0,Jaguars,6
Chiefs,Redskins,14,6,268,265,0,2.0,Redskins,6
